Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000060718.24,3001.137932470599,6.765616850433049,0.4879443989795641,13.86554874814006,1.0243966889913451e-43,2.6092408065298552e-39
ENSG00000174827.16,328.80978101374933,-4.732324037531439,0.4145929809031259,-11.414385326116259,3.544005243883494e-30,4.513467878347823e-26
ENSG00000136883.18,818.6006887314718,-3.5045987215091197,0.31493327169661367,-11.128067551037363,9.159976904728773e-29,7.77712572467822e-25
ENSG00000126010.7,374.8852080589942,-3.9422827197534627,0.36112559254975923,-10.916652824073271,9.596758758118828e-28,6.1109760582011164e-24
ENSG00000099953.12,3921.704601838498,4.779076165699541,0.4650551871145334,10.276363533007006,9.006177843836211e-25,4.552613241036505e-21
ENSG00000165474.10,324.356024978497,3.4528862444332638,0.33655447823302564,10.259516564930488,1.0724227335487037e-24,4.552613241036505e-21
ENSG00000294063.1,155.63653068230968,-5.754178578560952,0.566709165954171,-10.153671273116984,3.19127474999185e-24,1.161213702243463e-20
ENSG00000130208.12,2401.546186229676,3.052766225617704,0.3051263975075922,10.004923371278439,1.4500390706764348e-23,4.6167431461499336e-20
ENSG00000123500.11,1535.3065847090643,5.585323829570544,0.5697865270860337,9.80248490278395,1.09849427883998e-22,3.108860864037015e-19
ENSG00000122641.13,1497.659347841308,3.7278229871473503,0.3938414352503469,9.465288955129225,2.9275051957262213e-21,7.456648484034257e-18
ENSG00000196611.7,983.1311608575159,7.460695326461112,0.8009946185794419,9.31428895201893,1.2277209859157635e-20,2.84284374838731e-17
ENSG00000151790.11,513.7627732414863,5.194572531948253,0.5637437164748488,9.21442205055603,3.1295967398913727e-20,6.642829880147764e-17
ENSG00000137745.15,324.0232667757684,7.403143699042538,0.8110815660121815,9.127495937851647,7.010194131358736e-20,1.3735127286141413e-16
ENSG00000115593.17,299.79766889402777,-4.6950390695176,0.515193810104764,-9.113151162594267,8.0023199721095e-20,1.455907800068579e-16
ENSG00000135063.22,1137.1150691188836,-3.434240372276391,0.39499020010131286,-8.694495132779311,3.483753344531737e-18,5.915645429237858e-15
ENSG00000137872.19,741.2151616415827,-2.632863884622898,0.3067446695082132,-8.583242502124072,9.223563017164668e-18,1.4683335850637577e-14
ENSG00000163879.13,548.6443256007627,-2.9764633547458748,0.34993359180806355,-8.505794883443047,1.8035558385013107e-17,2.7022571036745225e-14
ENSG00000130045.19,124.11039873919762,-4.14560956422059,0.502136885185632,-8.255935157378499,1.5071743942932486e-16,2.132735499835741e-13
ENSG00000164694.19,1152.551285083832,4.164340388652556,0.5058922198508246,8.2316750984637,1.8461341717615597e-16,2.4748886046809837e-13
ENSG00000230838.3,174.22037963350516,6.136277370344481,0.7547694669363606,8.130002125353421,4.2928290751889604e-16,5.467132468706901e-13
ENSG00000180264.13,247.35464546269122,-5.716429224539533,0.705124408788066,-8.106979638337378,5.189355297996137e-16,6.29419375215522e-13
ENSG00000105664.13,1120.0530239477293,4.938514527399795,0.6283638203324121,7.8593234804436385,3.862136638426868e-15,4.471476468971397e-12
